state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
AL,37,1,1,FALSE,53.79,271,0,1,1,1,1,0,4.5,0,1,1,0,0,785,839,54,10,-11.234579560881684,3.015190217806891e-7
AL,39,1,1,FALSE,22.44,318,0,1,0,1,1,0,1.2,0,0,0,0,0,352,474,122,7,2286.5124200598493,2.969618163541513e-7
AL,31,0,1,FALSE,46.07,501,0,1,1,1,1,0,12,0,1,0,0,0,392,414,22,10,-772.7951350422109,2.955214964698612e-7
AL,56,0,1,FALSE,49.09,501,0,1,1,1,1,0,36.8,0,1,0,0,0,407,414,7,11,2492.8215701455774,2.9715559888983025e-7
AL,33,1,1,FALSE,47.88,501,0,1,1,1,1,0,7.6,0,1,0,0,0,467,479,12,11,6328.505452132158,2.929407156962398e-7
AL,63,1,0,FALSE,28.43,306,1,0,1,1,0,1,4,0,1,0,0,0,592,624,32,10,2839.404267335689,2.929407156962398e-7
AL,52,0,1,FALSE,28.43,327,0,1,0,1,0,0,4.3,0,1,0,0,0,285,354,69,6,1787.4492338043092,3.0330319826340303e-7
AL,65,1,1,FALSE,24.95,489,0,1,0,1,1,1,5,0,1,0,0,0,362,379,17,6,-254.18362572009403,2.9083321302375983e-7
AL,24,0,1,FALSE,25.45,415,1,0,0,1,1,0,2,0,1,0,0,0,362,419,57,8,2976.0963386808053,2.9343347000165276e-7
AL,75,0,1,FALSE,54.79,446,1,0,1,1,0,0,4.8,0,1,0,0,0,482,499,17,10,1373.5075281832105,2.9297143530519256e-7
AL,57,0,1,FALSE,36.19,260,0,1,0,1,1,0,4.4,0,1,0,0,0,452,474,22,6,-2067.3134085307356,2.9297143530519256e-7
AL,43,0,1,FALSE,28.23,207,0,1,0,1,1,1,2.9,0,1,0,0,0,452,474,22,8,4896.697052564603,2.932023632850139e-7
AL,58,1,1,FALSE,47.04,106,1,0,0,1,0,1,1.4,0,1,0,0,0,347,384,37,6,-4670.446718622783,2.922365836131032e-7
AL,60,1,1,TRUE,30.61,472,0,1,0,1,0,1,8.2,0,1,0,0,0,1395,1414,19,6,-1954.287039561932,3.0019293426237586e-7
AL,64,0,1,FALSE,17.82,332,1,0,0,0,1,0,1.9,0,1,0,0,0,422,454,32,3,-8037.543022319125,2.9366475559345033e-7
AL,62,1,1,FALSE,17.25,204,1,0,0,1,1,0,1.5,0,1,0,0,0,437,459,22,6,-434.15836758162095,3.113349358443961e-7
AL,57,0,1,FALSE,23.65,434,0,1,0,1,1,1,2.93,0,1,1,0,0,392,414,22,6,19.53431445696242,2.9378046551079456e-7
AL,57,1,1,FALSE,17.38,159,0,1,0,1,1,1,2.7,0,1,0,0,0,302,349,47,6,2228.3669968862723,3.1183375106785465e-7
AL,39,1,1,FALSE,41.57,412,0,1,0,1,0,0,5.4,0,1,0,0,0,317,349,32,6,-5507.71835534399,2.9803510799368656e-7
AL,44,0,1,FALSE,61.07,295,1,0,1,1,0,0,5.2,0,1,1,0,0,362,384,22,10,1309.2898445069186,3.027066946274068e-7
AL,39,0,1,FALSE,36.09,501,0,1,1,1,1,0,14,0,1,0,0,0,437,444,7,10,4123.822023009023,2.9974142191964117e-7
AL,59,0,1,FALSE,31.27,155,1,0,0,1,0,0,2.03,0,1,0,0,0,725,734,9,7,78.68535036562571,2.930868769616432e-7
